task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f7/3a8644	7190	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2024-05-21 11:57:48.133	5.1s	181ms	179.3%	0	0	724.8 KB	4.1 KB
2	30/0bd50a	7318	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2024-05-21 11:57:53.359	4.3s	198ms	238.5%	3.4 MB	9.7 MB	730.6 KB	745 B
4	85/a7d738	7639	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2024-05-21 12:00:16.619	4.4s	1.3s	163.6%	15.4 MB	28.8 MB	1.9 MB	8.3 MB
5	c3/dcbce0	7889	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2024-05-21 12:01:54.649	6.8s	203ms	189.5%	3.5 MB	9.7 MB	172.1 KB	6.1 KB
3	d7/5dc49a	8081	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2024-05-21 12:03:50.262	6.7s	107ms	181.8%	0	0	93.6 KB	5 KB
10	1d/3d47ff	8296	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2024-05-21 12:07:52.852	39s	30.7s	426.8%	604.6 MB	3.7 GB	25.4 MB	4 MB
9	02/8f5094	9089	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2024-05-21 12:08:31.873	36.2s	28.7s	492.6%	255.6 MB	3.7 GB	23.9 MB	3.6 MB
7	fd/9d6396	9936	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2024-05-21 12:09:08.383	1m 5s	59.5s	443.3%	643.6 MB	3.7 GB	64 MB	3.9 MB
12	c0/deec22	10950	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2024-05-21 12:10:13.468	39.1s	29.9s	485.3%	627.4 MB	3.7 GB	24 MB	3.9 MB
15	7b/7bc02a	11774	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2024-05-21 12:10:53.057	33.2s	27s	497.5%	561.8 MB	3.7 GB	28.2 MB	4 MB
